objectid;type;address;polygonid;scale;angle;globalid;geo_shape;geo_point_2d
688;public;;0;1.0;0.0;{11B01027-B985-4393-A2F3-C0503350AD7E};"{""type"": ""Point"", ""coordinates"": [-79.05440789494516, 35.901548995857205]}";"35.9015489959; -79.0544078949"
686;public;;0;1.0;0.0;{2276E701-CC2C-4B77-B3BD-0503730C4F65};"{""type"": ""Point"", ""coordinates"": [-79.05732616991328, 35.90188352221531]}";"35.9018835222; -79.0573261699"
683;private;;0;1.0;0.0;{7B5768D2-2BC8-48D4-9F39-9C1247594CF5};"{""type"": ""Point"", ""coordinates"": [-79.06195729647766, 35.90583452714255]}";"35.9058345271; -79.0619572965"
692;public;;0;1.0;0.0;{C2EAA168-B3A2-4FC4-900A-AE742C5792F4};"{""type"": ""Point"", ""coordinates"": [-79.05841719984836, 35.89633513463409]}";"35.8963351346; -79.0584171998"
681;public;18;0;1.0;0.0;{1F5609BE-DF68-40FB-889C-7311FED3A192};"{""type"": ""Point"", ""coordinates"": [-79.02054784065541, 35.91364779875567]}";"35.9136477988; -79.0205478407"
672;public;;0;1.0;0.0;{F8C4ADD5-A66B-4FD4-AF37-28117EDA295A};"{""type"": ""Point"", ""coordinates"": [-79.05055263924511, 35.91780171060732]}";"35.9178017106; -79.0505526392"
677;public;;0;1.0;0.0;{EB964B90-0DC8-426F-88CE-2391935AD939};"{""type"": ""Point"", ""coordinates"": [-79.05463981879451, 35.911444731866716]}";"35.9114447319; -79.0546398188"
682;public;;0;1.0;0.0;{3A6044B0-56EE-4F19-90C6-509EB118041E};"{""type"": ""Point"", ""coordinates"": [-79.06748261837201, 35.90593340504607]}";"35.905933405; -79.0674826184"
696;private;;0;1.0;0.0;{66D457F1-F0F6-4AC4-9E7D-A3FC32E4E961};"{""type"": ""Point"", ""coordinates"": [-79.04328395464634, 35.900087521824055]}";"35.9000875218; -79.0432839546"
698;public;;0;1.0;0.0;{563530C4-EECB-45CB-9D84-706A039D8420};"{""type"": ""Point"", ""coordinates"": [-79.02379582979765, 35.90697469553875]}";"35.9069746955; -79.0237958298"
725;private;309;0;1.0;0.0;{B2B12D92-55ED-4E1E-BD63-46202237E7B1};"{""type"": ""Point"", ""coordinates"": [-79.00207841128176, 35.928018005183645]}";"35.9280180052; -79.0020784113"
723;private;104;0;1.0;0.0;{B905D628-088F-4634-B97A-41BD7C7724CE};"{""type"": ""Point"", ""coordinates"": [-79.0031716210726, 35.92891811670639]}";"35.9289181167; -79.0031716211"
735;private;;0;1.0;0.0;{48892DA0-4D4C-4D7F-A4EA-3ECAD9E0DE1C};"{""type"": ""Point"", ""coordinates"": [-79.03899808443128, 35.965252706514526]}";"35.9652527065; -79.0389980844"
737;private;;0;1.0;0.0;{678B0F81-B420-49F0-BBA4-5AA420FC9D18};"{""type"": ""Point"", ""coordinates"": [-79.03649882087639, 35.96384825663389]}";"35.9638482566; -79.0364988209"
790;public;100-A;0;1.0;0.0;{AC6111F2-EF4F-4B4A-8FDE-C2BB53896789};"{""type"": ""Point"", ""coordinates"": [-79.0587901479862, 35.95469418758121]}";"35.9546941876; -79.058790148"
